Title,sim_score,diff_score
AdaFaceopencv0.250 AdaFaceretinaface0.150 Facenet512fastmtcnn0.250 Facenet512opencv0.350,0.83,0.08
AdaFaceopencv0.250 AdaFaceretinaface0.150 Facenet512fastmtcnn0.300 Facenet512opencv0.300,0.83,0.08
AdaFaceopencv0.250 AdaFaceretinaface0.150 Facenet512fastmtcnn0.350 Facenet512opencv0.250,0.83,0.08
AdaFaceopencv0.250 AdaFaceretinaface0.150 Facenet512fastmtcnn0.400 Facenet512opencv0.200,0.84,0.07
AdaFaceopencv0.250 AdaFaceretinaface0.150 Facenet512fastmtcnn0.450 Facenet512opencv0.150,0.84,0.07
AdaFaceopencv0.250 AdaFaceretinaface0.200 Facenet512fastmtcnn0.100 Facenet512opencv0.450,0.82,0.08
AdaFaceopencv0.250 AdaFaceretinaface0.200 Facenet512fastmtcnn0.150 Facenet512opencv0.400,0.82,0.07
AdaFaceopencv0.250 AdaFaceretinaface0.200 Facenet512fastmtcnn0.200 Facenet512opencv0.350,0.82,0.07
AdaFaceopencv0.250 AdaFaceretinaface0.200 Facenet512fastmtcnn0.250 Facenet512opencv0.300,0.83,0.07
AdaFaceopencv0.250 AdaFaceretinaface0.200 Facenet512fastmtcnn0.300 Facenet512opencv0.250,0.83,0.07
